tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,date
0.42383564,0.53817356,0.0126055535,0.012804269,0.012580971,2021-03-17
0.6980825,0.034102608,0.19872144,0.034724172,0.03436928,2021-03-18
0.9377691,0.01592934,0.015414049,0.015425338,0.015462124,2021-03-19
0.5998343,0.011582607,0.13602728,0.24141629,0.011139487,2021-03-20
0.79337716,0.086702585,0.099464715,0.010236181,0.010219421,2021-03-21
0.95981854,0.010126277,0.010015478,0.010030683,0.010009054,2021-03-22
0.8372217,0.0407147,0.040684685,0.040748343,0.040630624,2021-03-23
0.40832716,0.2436775,0.018461907,0.119165994,0.21036747,2021-03-24
0.2,0.2,0.2,0.2,0.2,2021-03-25
0.5384668,0.015594313,0.015537667,0.41487145,0.015529774,2021-03-26
0.901134,0.0702028,0.0095723225,0.009541497,0.009549371,2021-03-27
0.8883769,0.007009952,0.006975709,0.09062061,0.0070168213,2021-03-28
0.54379505,0.061469253,0.009578772,0.37558353,0.009573384,2021-03-29
0.067066,0.06750748,0.06673233,0.7319618,0.066732384,2021-03-30
0.5963778,0.37013087,0.011163025,0.011182885,0.011145486,2021-03-31
0.76261765,0.136615,0.033951826,0.033450488,0.033365037,2021-04-01
0.87204176,0.007509441,0.105554506,0.007442112,0.0074521475,2021-04-02
0.7465713,0.021006614,0.020280905,0.19192854,0.020212686,2021-04-03
0.38145566,0.29501584,0.01010165,0.20247753,0.11094929,2021-04-04
0.72281665,0.009618764,0.102142535,0.15584104,0.009581016,2021-04-05
0.62896675,0.029945944,0.28110594,0.030032694,0.02994862,2021-04-06
0.79707193,0.051106296,0.050461836,0.050897714,0.050462216,2021-04-07
0.9197199,0.020171698,0.020032652,0.020049028,0.020026771,2021-04-08
0.92691356,0.018505706,0.018187078,0.018206531,0.018187081,2021-04-09
0.8367046,0.04235081,0.040202525,0.040118407,0.04062364,2021-04-10
0.786587,0.1583025,0.018378118,0.018395742,0.018336618,2021-04-11
0.43527713,0.5345052,0.010065828,0.010108183,0.010043665,2021-04-12
0.8730344,0.012654997,0.012642677,0.08905555,0.012612365,2021-04-13
0.48342907,0.47623554,0.013428676,0.013482661,0.013424049,2021-04-14
0.80811423,0.15980461,0.0107314205,0.010715776,0.010634035,2021-04-15
0.51020455,0.0112488745,0.117584065,0.349747,0.011215463,2021-04-16
0.49197677,0.27307406,0.17736833,0.028828355,0.028752498,2021-04-17
0.44287744,0.48120838,0.025776302,0.025068881,0.025068993,2021-04-18
0.28610748,0.66341025,0.016836753,0.016841186,0.016804362,2021-04-19
0.68490624,0.010309173,0.06280497,0.23191562,0.010063967,2021-04-20
0.9576934,0.010610276,0.010572693,0.010557559,0.0105661275,2021-04-21
0.79652554,0.014705847,0.014328331,0.16011193,0.014328357,2021-04-22
0.9315031,0.017124264,0.017066196,0.017259052,0.017047385,2021-04-23
0.96335334,0.009286032,0.009098919,0.009162414,0.009099326,2021-04-24
0.06697667,0.73172504,0.06684504,0.06777209,0.06668113,2021-04-25
0.80569804,0.020651555,0.020019883,0.13361716,0.02001333,2021-04-26
0.6072147,0.30593628,0.010581745,0.06568556,0.010581783,2021-04-27
0.10013016,0.1001302,0.100130364,0.5994788,0.100130476,2021-04-28
0.883447,0.013572619,0.076136805,0.013428988,0.01341455,2021-04-29
0.5435923,0.28412324,0.15544167,0.008454304,0.008388466,2021-04-30
0.8301657,0.1396051,0.010085443,0.01007238,0.010071415,2021-05-01
0.6024011,0.32213056,0.025196426,0.025222788,0.02504916,2021-05-02
0.89770967,0.011297641,0.01115785,0.06868062,0.011154246,2021-05-03
0.7065538,0.015587519,0.17198499,0.015702866,0.0901708,2021-05-04
0.6026877,0.3654337,0.010622634,0.010597553,0.010658372,2021-05-05
0.7749201,0.01578291,0.015441518,0.17841391,0.015441557,2021-05-06
0.5207561,0.011949574,0.07091685,0.2120365,0.184341,2021-05-07
