Date, Open, High, Low, Close
09/04/20, 35172.27, 35391.62, 34020.27, 34848.03
09/03/20, 36185.72, 36228.02, 34875.05, 35138.18
09/02/20, 36129.07, 36498.93, 35957.25, 36434.12
09/01/20, 35716.47, 35948.26, 35599.44, 35940.29
08/31/20, 35725.35, 35808.39, 35574.14, 35661.56
08/28/20, 35624.49, 35730.45, 35495.57, 35720.40
08/27/20, 35489.29, 35650.94, 35303.94, 35479.64
08/26/20, 35152.86, 35434.17, 35093.19, 35403.50
08/25/20, 35021.24, 35081.68, 34881.85, 35078.17
08/24/20, 34904.45, 34964.06, 34768.75, 34957.74
08/21/20, 34542.19, 34655.55, 34483.50, 34626.02
08/20/20, 34240.45, 34599.85, 34221.54, 34543.22
08/19/20, 34622.45, 34697.41, 34394.25, 34444.28
08/18/20, 34622.47, 34660.78, 34405.56, 34593.10
08/17/20, 34523.52, 34583.75, 34491.54, 34548.01
08/14/20, 34360.25, 34475.60, 34303.14, 34408.67
08/13/20, 34393.79, 34572.29, 34319.28, 34422.43
08/12/20, 34301.58, 34535.93, 34301.58, 34467.13
08/11/20, 34430.66, 34504.93, 33937.65, 34007.95
08/10/20, 34260.05, 34311.87, 34040.24, 34277.41
08/07/20, 34061.27, 34207.72, 33947.14, 34194.10
08/06/20, 33932.38, 34179.81, 33876.27, 34158.02
08/05/20, 33899.38, 34007.59, 33886.37, 33987.45
08/04/20, 33563.07, 33735.54, 33527.70, 33734.57
08/03/20, 33523.29, 33684.06, 33456.29, 33609.09
07/31/20, 33355.16, 33355.16, 32810.15, 33323.80
07/30/20, 32912.31, 33195.00, 32707.97, 33141.90
07/29/20, 32947.48, 33317.35, 32945.96, 33257.02
07/28/20, 32968.28, 33074.82, 32784.97, 32804.16
07/27/20, 32815.45, 33056.32, 32750.86, 33040.36
07/24/20, 32772.04, 32908.64, 32611.64, 32761.21
07/23/20, 33360.84, 33464.22, 32848.51, 33005.55
07/22/20, 33170.97, 33416.32, 33164.11, 33387.86
07/21/20, 33340.53, 33414.27, 33107.77, 33200.90
07/20/20, 32862.11, 33193.68, 32772.31, 33132.24
07/17/20, 32847.28, 32942.20, 32654.96, 32859.69
07/16/20, 32638.44, 32794.82, 32575.08, 32747.20
07/15/20, 32867.11, 32958.84, 32572.16, 32874.73
07/14/20, 31909.68, 32517.06, 31779.79, 32491.40
07/13/20, 32683.17, 32936.34, 32005.22, 32051.64
07/10/20, 32065.50, 32423.38, 31902.58, 32408.34
07/09/20, 32337.15, 32361.53, 31678.43, 32058.03
07/08/20, 32104.59, 32285.20, 31906.95, 32262.10
07/07/20, 32183.59, 32410.05, 31974.88, 31995.87
07/06/20, 32307.43, 32426.91, 32210.79, 32357.45
07/02/20, 32110.98, 32244.51, 31803.71, 31859.20
07/01/20, 31656.31, 31843.52, 31563.12, 31714.07
06/30/20, 31053.95, 31681.90, 31038.70, 31576.79
06/29/20, 30767.27, 31094.39, 30523.07, 31093.80
06/26/20, 31257.62, 31267.73, 30582.88, 30620.42
06/25/20, 30934.22, 31395.19, 30742.08, 31373.25
06/24/20, 31630.34, 31687.00, 30802.61, 31008.58
06/23/20, 32013.78, 32098.63, 31822.41, 31864.58
06/22/20, 31476.40, 31769.27, 31331.06, 31738.05
06/19/20, 32108.46, 32108.46, 31377.41, 31534.06
06/18/20, 31508.11, 31772.85, 31480.23, 31704.37
06/17/20, 31944.13, 31966.70, 31625.46, 31678.72
06/16/20, 32111.66, 32127.88, 31321.09, 31822.67
06/15/20, 30220.28, 31355.62, 30119.34, 31228.39
06/12/20, 31325.22, 31406.77, 30304.05, 30911.92
06/11/20, 31534.51, 31664.59, 30457.32, 30484.44
06/10/20, 32737.02, 32791.79, 32339.34, 32437.11
06/09/20, 32619.73, 32833.82, 32515.20, 32665.60
06/08/20, 32661.67, 32986.91, 32606.37, 32981.16
06/05/20, 32349.58, 32749.71, 32349.58, 32538.05
06/04/20, 31659.20, 31863.74, 31468.32, 31699.35
06/03/20, 31569.63, 31882.97, 31550.64, 31804.65
06/02/20, 31193.07, 31333.64, 31033.79, 31332.99
06/01/20, 30856.14, 31156.92, 30806.55, 31073.88
05/29/20, 30685.51, 30955.14, 30462.39, 30910.10
05/28/20, 31012.94, 31186.68, 30701.18, 30768.79
05/27/20, 30715.84, 30888.00, 30153.14, 30888.00
05/26/20, 30687.55, 30689.91, 30367.52, 30404.20
05/22/20, 29904.94, 29996.53, 29744.53, 29985.34
05/21/20, 30061.29, 30173.28, 29759.16, 29896.76
05/20/20, 29968.62, 30185.23, 29943.27, 30094.41
05/19/20, 29825.64, 30016.48, 29568.34, 29570.86
05/18/20, 29616.61, 30027.09, 29616.61, 29889.29
05/15/20, 28497.82, 28915.67, 28398.28, 28903.31
05/14/20, 28113.21, 28763.61, 27836.53, 28760.56
05/13/20, 28957.33, 29018.96, 28170.01, 28441.92
05/12/20, 29779.17, 29826.32, 29011.98, 29011.98
05/11/20, 29418.76, 29818.85, 29388.09, 29663.42
05/08/20, 29486.65, 29686.39, 29354.44, 29670.79
05/07/20, 29128.66, 29329.68, 29063.38, 29121.73
05/06/20, 29118.80, 29173.56, 28752.34, 28752.34
05/05/20, 29008.93, 29261.53, 28884.01, 28937.60
05/04/20, 28315.28, 28679.79, 28191.24, 28670.31
05/01/20, 28823.40, 28912.54, 28422.29, 28539.10
04/30/20, 29542.97, 29603.50, 29230.74, 29396.70
